time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
2.133333,N3,0.297,0.1618,0.203,0.1967,curious,0.35,0.0
2.141667,N3,0.3149,0.1796,0.1552,0.159,joyful,0.35,0.0
2.15,N3,0.2999,0.1573,0.1784,0.1884,joyful,0.35,0.0
2.158333,N3,0.3386,0.167,0.2122,0.1719,joyful,0.35,0.0
2.166667,N3,0.3109,0.1766,0.2132,0.164,joyful,0.35,0.0
2.175,N3,0.337,0.15,0.2248,0.1703,joyful,0.35,0.0
2.183333,N3,0.3115,0.1663,0.2057,0.154,curious,0.335,0.0
2.191667,N3,0.3219,0.1738,0.2036,0.1829,neutral,0.35,0.0
2.2,N3,0.295,0.1569,0.2236,0.1824,joyful,0.35,0.0
2.208333,N3,0.3251,0.1724,0.2137,0.1693,joyful,0.35,0.0
2.216667,N3,0.2895,0.1763,0.1749,0.1751,melancholic,0.35,0.0
2.225,N3,0.3093,0.1497,0.2009,0.1558,joyful,0.336,0.0
2.233333,N3,0.2734,0.1812,0.2124,0.1711,melancholic,0.35,0.0
2.241667,N3,0.2986,0.1913,0.2034,0.1281,joyful,0.35,0.0
2.25,N3,0.3041,0.2013,0.1858,0.2205,fearful,0.35,0.0
2.258333,N3,0.3329,0.1737,0.2149,0.1589,neutral,0.35,0.0
2.266667,N3,0.2935,0.1741,0.1774,0.1606,curious,0.35,0.0
2.275,N3,0.3068,0.1804,0.2047,0.171,curious,0.35,0.0
2.283333,N3,0.2895,0.2151,0.1903,0.1757,anxious,0.35,0.0
2.291667,N3,0.2956,0.1746,0.2082,0.1986,joyful,0.35,0.0
2.3,N2,0.4535,0.2132,0.2596,0.128,fearful,0.403,0.0
2.308333,N2,0.4595,0.2205,0.28,0.1446,joyful,0.462,0.0
2.316667,N2,0.4566,0.2789,0.3058,0.1961,neutral,0.414,0.0
2.325,N2,0.42,0.2674,0.2953,0.1875,curious,0.413,0.0
2.333333,N2,0.4196,0.2429,0.258,0.1718,neutral,0.381,0.0
2.341667,N2,0.4602,0.257,0.2772,0.1802,melancholic,0.357,0.0
2.35,N2,0.4628,0.2401,0.288,0.1717,curious,0.465,0.0
2.358333,N2,0.4477,0.2406,0.2922,0.141,neutral,0.414,0.0
2.366667,N2,0.4476,0.2603,0.2624,0.1464,joyful,0.372,0.0
2.375,N2,0.4101,0.2507,0.2439,0.173,serene,0.46,0.0
2.383333,N2,0.4712,0.2681,0.3382,0.1554,fearful,0.43,0.0
2.391667,N2,0.4613,0.2677,0.2637,0.189,joyful,0.44,0.0
2.4,N2,0.4348,0.2545,0.2637,0.1348,neutral,0.435,0.0
2.408333,N2,0.4478,0.2181,0.2805,0.185,serene,0.429,0.0
2.416667,N2,0.4538,0.2672,0.2843,0.1426,neutral,0.393,0.0
2.425,N2,0.4582,0.2619,0.2973,0.1495,neutral,0.421,0.0
2.433333,N2,0.462,0.2313,0.2727,0.1492,anxious,0.436,0.0
2.441667,N2,0.4438,0.2424,0.2563,0.1339,joyful,0.436,0.0
2.45,N2,0.4205,0.229,0.2279,0.1695,neutral,0.47,0.0
2.458333,N2,0.4585,0.2717,0.2813,0.1178,curious,0.42,0.0
2.466667,N2,0.4591,0.2399,0.2682,0.1299,joyful,0.452,0.0
2.475,N2,0.4188,0.295,0.2985,0.1393,curious,0.379,0.0
2.483333,N2,0.4762,0.2822,0.2707,0.1158,neutral,0.447,0.0
2.491667,N2,0.4491,0.2356,0.281,0.1612,neutral,0.413,0.0
2.5,N2,0.4601,0.2508,0.2564,0.1608,neutral,0.399,0.0
2.508333,N2,0.4695,0.2593,0.2914,0.1665,serene,0.433,0.0
2.516667,N2,0.4843,0.2436,0.308,0.1383,neutral,0.422,0.0
2.525,N2,0.4574,0.2481,0.2779,0.1225,serene,0.391,0.0
2.533333,N2,0.4405,0.2304,0.2775,0.1753,neutral,0.433,0.0
2.541667,N2,0.4268,0.2662,0.2747,0.1391,neutral,0.461,0.0
2.55,N2,0.4274,0.2614,0.2524,0.1248,melancholic,0.417,0.0
2.558333,N2,0.4893,0.244,0.268,0.1254,curious,0.457,0.0
2.566667,N2,0.4664,0.2429,0.2696,0.1484,curious,0.456,0.0
2.575,N2,0.4143,0.2506,0.2721,0.1689,curious,0.431,0.0
2.583333,N2,0.4227,0.2383,0.3046,0.1267,curious,0.451,0.0
2.591667,N2,0.4406,0.2477,0.2905,0.134,curious,0.451,0.0
2.6,N2,0.4792,0.2562,0.2562,0.1415,curious,0.418,0.0
2.608333,N2,0.4493,0.2442,0.2807,0.1247,melancholic,0.389,0.0
2.616667,N2,0.4307,0.2428,0.2485,0.1826,neutral,0.472,0.0
2.625,N2,0.4745,0.2157,0.2892,0.138,neutral,0.402,0.0
2.633333,N2,0.4424,0.2392,0.2754,0.1744,neutral,0.423,0.0
2.641667,N2,0.4349,0.2399,0.255,0.1155,curious,0.412,0.0
2.65,N2,0.4742,0.2091,0.2862,0.1267,neutral,0.437,0.0
2.658333,N2,0.464,0.272,0.284,0.1291,joyful,0.432,0.0
2.666667,N2,0.4339,0.2585,0.2881,0.1613,joyful,0.412,0.0
2.675,N2,0.4115,0.2433,0.3052,0.1159,neutral,0.426,0.0
2.683333,REM,0.914,0.0658,0.0311,0.1382,joyful,0.889,0.3554
2.691667,REM,0.9054,0.0239,0.0388,0.1408,joyful,0.884,0.4536
2.7,REM,0.9005,0.0272,0.0641,0.1606,neutral,0.843,0.4735
2.708333,REM,0.913,0.0601,0.0431,0.0943,melancholic,0.916,0.4945
2.716667,REM,0.9244,0.0852,0.0554,0.1239,neutral,0.887,0.5266
2.725,REM,0.8939,0.0355,0.0531,0.1262,curious,0.894,0.5978
2.733333,REM,0.9027,0.0457,0.0614,0.1373,joyful,0.867,0.5998
2.741667,REM,0.9003,0.0,0.0465,0.0657,neutral,0.9,0.6139
2.75,REM,0.8763,0.0101,0.0413,0.1,curious,0.853,0.6096
2.758333,REM,0.9109,0.0709,0.0197,0.139,neutral,0.878,0.5967
2.766667,REM,0.9074,0.0223,0.0454,0.1493,curious,0.875,0.5901
2.775,REM,0.8945,0.1105,0.0579,0.1385,anxious,0.885,0.5144
2.783333,REM,0.9095,0.0569,0.0559,0.1405,neutral,0.846,0.4526
2.791667,REM,0.9118,0.0019,0.025,0.1482,anxious,0.888,0.5038
2.8,REM,0.9315,0.0596,0.0575,0.1349,serene,0.863,0.4431
2.808333,REM,0.8877,0.0776,0.0505,0.1467,serene,0.907,0.3993
2.816667,REM,0.9012,0.0308,0.0218,0.1769,neutral,0.846,0.3546
2.825,REM,0.906,0.0735,0.0589,0.1347,neutral,0.953,0.3628
2.833333,REM,0.8901,0.0394,0.0242,0.1431,anxious,0.867,0.3517
2.841667,REM,0.8996,0.0489,0.0498,0.1517,neutral,0.896,0.4122
2.85,REM,0.8858,0.0556,0.0475,0.115,neutral,0.901,0.4615
2.858333,REM,0.9317,0.019,0.0604,0.1118,curious,0.872,0.5436
2.866667,REM,0.9035,0.0685,0.0939,0.1146,neutral,0.872,0.5739
2.875,REM,0.9091,0.0509,0.0719,0.1466,neutral,0.876,0.6539
2.883333,N1,0.4758,0.3081,0.3064,0.1187,neutral,0.383,0.0
2.891667,N1,0.4492,0.2575,0.324,0.1574,neutral,0.438,0.0
2.9,N1,0.5112,0.2845,0.3108,0.1435,melancholic,0.436,0.0
2.908333,N1,0.523,0.2866,0.3228,0.1849,serene,0.379,0.0
2.916667,N2,0.425,0.2461,0.2851,0.1603,neutral,0.41,0.0
